,sepal_length,sepal_width,petal_length,petal_width,species
0,4.9,3.0,1.4,0.2,setosa
1,4.7,3.2,1.3,0.2,setosa
2,4.6,3.1,1.5,0.2,setosa
3,5.4,3.9,1.7,0.4,setosa
4,4.4,2.9,1.4,0.2,setosa
5,4.9,3.1,1.5,0.1,setosa
6,4.8,3.0,1.4,0.1,setosa
7,5.4,3.9,1.3,0.4,setosa
8,5.4,3.4,1.7,0.2,setosa
9,4.6,3.6,1.0,0.2,setosa
10,5.1,3.3,1.7,0.5,setosa
11,5.0,3.0,1.6,0.2,setosa
12,5.0,3.4,1.6,0.4,setosa
13,5.2,3.5,1.5,0.2,setosa
14,5.2,3.4,1.4,0.2,setosa
15,5.5,4.2,1.4,0.2,setosa
16,4.9,3.1,1.5,0.1,setosa
17,4.4,3.0,1.3,0.2,setosa
18,5.0,3.5,1.3,0.3,setosa
19,4.4,3.2,1.3,0.2,setosa
20,5.1,3.8,1.9,0.4,setosa
21,4.8,3.0,1.4,0.3,setosa
22,5.1,3.8,1.6,0.2,setosa
23,4.6,3.2,1.4,0.2,setosa
24,5.0,3.3,1.4,0.2,setosa
25,6.4,3.2,4.5,1.5,versicolor
26,6.9,3.1,4.9,1.5,versicolor
27,5.5,2.3,4.0,1.3,versicolor
28,5.7,2.8,4.5,1.3,versicolor
29,6.6,2.9,4.6,1.3,versicolor
30,5.2,2.7,3.9,1.4,versicolor
31,6.0,2.2,4.0,1.0,versicolor
32,5.6,3.0,4.5,1.5,versicolor
33,5.9,3.2,4.8,1.8,versicolor
34,6.3,2.5,4.9,1.5,versicolor
35,6.1,2.8,4.7,1.2,versicolor
36,6.6,3.0,4.4,1.4,versicolor
37,6.8,2.8,4.8,1.4,versicolor
38,6.7,3.0,5.0,1.7,versicolor
39,6.0,2.9,4.5,1.5,versicolor
40,6.0,2.7,5.1,1.6,versicolor
41,5.4,3.0,4.5,1.5,versicolor
42,5.6,3.0,4.1,1.3,versicolor
43,5.5,2.6,4.4,1.2,versicolor
44,5.8,2.6,4.0,1.2,versicolor
45,5.6,2.7,4.2,1.3,versicolor
46,5.7,3.0,4.2,1.2,versicolor
47,5.7,2.9,4.2,1.3,versicolor
48,6.2,2.9,4.3,1.3,versicolor
49,5.7,2.8,4.1,1.3,versicolor
50,5.8,2.7,5.1,1.9,virginica
51,7.1,3.0,5.9,2.1,virginica
52,6.3,2.9,5.6,1.8,virginica
53,7.6,3.0,6.6,2.1,virginica
54,6.7,2.5,5.8,1.8,virginica
55,7.2,3.6,6.1,2.5,virginica
56,6.8,3.0,5.5,2.1,virginica
57,6.5,3.0,5.5,1.8,virginica
58,6.9,3.2,5.7,2.3,virginica
59,7.7,2.8,6.7,2.0,virginica
60,6.3,2.7,4.9,1.8,virginica
61,7.2,3.2,6.0,1.8,virginica
62,6.2,2.8,4.8,1.8,virginica
63,6.1,3.0,4.9,1.8,virginica
64,6.4,2.8,5.6,2.1,virginica
65,6.3,2.8,5.1,1.5,virginica
66,6.1,2.6,5.6,1.4,virginica
67,6.0,3.0,4.8,1.8,virginica
68,6.7,3.1,5.6,2.4,virginica
69,5.8,2.7,5.1,1.9,virginica
70,6.7,3.3,5.7,2.5,virginica
71,6.7,3.0,5.2,2.3,virginica
72,6.3,2.5,5.0,1.9,virginica
73,6.5,3.0,5.2,2.0,virginica
74,5.9,3.0,5.1,1.8,virginica
