,sepal_length,sepal_width,petal_length,petal_width,species
0,4.8,3.4,1.9,0.2,setosa
1,5.7,3.8,1.7,0.3,setosa
2,5.3,3.7,1.5,0.2,setosa
3,5.1,3.8,1.5,0.3,setosa
4,4.7,3.2,1.6,0.2,setosa
5,5.8,4.0,1.2,0.2,setosa
6,5.5,3.5,1.3,0.2,setosa
7,5.7,4.4,1.5,0.4,setosa
8,4.8,3.4,1.6,0.2,setosa
9,5.1,3.4,1.5,0.2,setosa
10,5.1,3.7,1.5,0.4,setosa
11,5.4,3.4,1.5,0.4,setosa
12,4.6,3.4,1.4,0.3,setosa
13,5.0,3.5,1.6,0.6,setosa
14,4.3,3.0,1.1,0.1,setosa
15,5.1,3.5,1.4,0.3,setosa
16,5.0,3.6,1.4,0.2,setosa
17,5.0,3.4,1.5,0.2,setosa
18,4.5,2.3,1.3,0.3,setosa
19,4.9,3.1,1.5,0.1,setosa
20,5.1,3.5,1.4,0.2,setosa
21,5.4,3.7,1.5,0.2,setosa
22,5.0,3.2,1.2,0.2,setosa
23,4.8,3.1,1.6,0.2,setosa
24,5.2,4.1,1.5,0.1,setosa
25,6.4,2.9,4.3,1.3,versicolor
26,6.2,2.2,4.5,1.5,versicolor
27,5.1,2.5,3.0,1.1,versicolor
28,5.6,2.5,3.9,1.1,versicolor
29,5.7,2.6,3.5,1.0,versicolor
30,5.6,2.9,3.6,1.3,versicolor
31,6.7,3.1,4.7,1.5,versicolor
32,6.7,3.1,4.4,1.4,versicolor
33,5.9,3.0,4.2,1.5,versicolor
34,5.5,2.5,4.0,1.3,versicolor
35,6.1,2.8,4.0,1.3,versicolor
36,5.5,2.4,3.7,1.0,versicolor
37,6.3,3.3,4.7,1.6,versicolor
38,5.0,2.3,3.3,1.0,versicolor
39,6.1,2.9,4.7,1.4,versicolor
40,5.8,2.7,4.1,1.0,versicolor
41,6.5,2.8,4.6,1.5,versicolor
42,4.9,2.4,3.3,1.0,versicolor
43,6.1,3.0,4.6,1.4,versicolor
44,6.3,2.3,4.4,1.3,versicolor
45,7.0,3.2,4.7,1.4,versicolor
46,5.0,2.0,3.5,1.0,versicolor
47,6.0,3.4,4.5,1.6,versicolor
48,5.5,2.4,3.8,1.1,versicolor
49,5.8,2.7,3.9,1.2,versicolor
50,6.7,3.3,5.7,2.1,virginica
51,7.7,2.6,6.9,2.3,virginica
52,6.2,3.4,5.4,2.3,virginica
53,6.0,2.2,5.0,1.5,virginica
54,7.2,3.0,5.8,1.6,virginica
55,5.8,2.8,5.1,2.4,virginica
56,6.3,3.4,5.6,2.4,virginica
57,6.4,3.2,5.3,2.3,virginica
58,6.4,2.7,5.3,1.9,virginica
59,6.9,3.1,5.4,2.1,virginica
60,5.6,2.8,4.9,2.0,virginica
61,7.9,3.8,6.4,2.0,virginica
62,4.9,2.5,4.5,1.7,virginica
63,6.8,3.2,5.9,2.3,virginica
64,5.7,2.5,5.0,2.0,virginica
65,7.7,3.8,6.7,2.2,virginica
66,6.5,3.0,5.8,2.2,virginica
67,7.3,2.9,6.3,1.8,virginica
68,6.9,3.1,5.1,2.3,virginica
69,6.4,3.1,5.5,1.8,virginica
70,6.3,3.3,6.0,2.5,virginica
71,6.5,3.2,5.1,2.0,virginica
72,7.7,3.0,6.1,2.3,virginica
73,7.4,2.8,6.1,1.9,virginica
74,6.4,2.8,5.6,2.2,virginica
